Player,Position,Age,Teams
George Hill,PG,34,OKC
George Hill,PG,34,PHI
Solomon Hill,PF,29,ATL
Nate Hinton,SG,21,DAL
Jaylen Hoard,SF,21,OKC
Aaron Holiday,PG,24,IND
Jrue Holiday,PG,30,MIL
Justin Holiday,SG,31,IND
Rondae Hollis-Jefferson,PF,26,POR
Richaun Holmes,C,27,SAC
Rodney Hood,SF,28,TOT
Rodney Hood,SF,28,POR
Rodney Hood,SF,28,TOR
Al Horford,C,34,OKC
Talen Horton-Tucker,SG,20,LAL
Danuel House Jr.,SF,27,HOU
Dwight Howard,C,35,PHI
Markus Howard,SG,21,DEN
Kevin Huerter,SG,22,ATL
Elijah Hughes,SF,22,UTA
De'Andre Hunter,SF,23,ATL
Chandler Hutchison,SF,24,TOT
Chandler Hutchison,SF,24,CHI
Chandler Hutchison,SF,24,WAS
Serge Ibaka,C,31,LAC
Andre Iguodala,SF,37,MIA
Ersan İlyasova,PF,33,UTA
Joe Ingles,SF,33,UTA
Brandon Ingram,SF,23,NOP
Kyrie Irving,PG,28,BRK
Wes Iwundu,SF,26,TOT
Wes Iwundu,SF,26,DAL
Wes Iwundu,SF,26,NOP
Frank Jackson,PG,22,DET
Jaren Jackson Jr.,C,21,MEM
Josh Jackson,SG,23,DET
Justin Jackson,SF,25,TOT
Justin Jackson,SF,25,OKC
Justin Jackson,SF,25,MIL
Reggie Jackson,SG,30,LAC
Justin James,SF,24,SAC
LeBron James,PG,36,LAL
Mike James,PG,30,BRK
DaQuan Jeffries,SG,23,TOT
DaQuan Jeffries,SG,23,SAC
DaQuan Jeffries,SG,23,HOU
Ty Jerome,SG,23,OKC
Isaiah Joe,SG,21,PHI
Alize Johnson,PF,24,BRK
Cameron Johnson,PF,24,PHO
James Johnson,PF,33,TOT
James Johnson,PF,33,DAL
James Johnson,PF,33,NOP
Keldon Johnson,SF,21,SAS
Stanley Johnson,PF,24,TOR
Tyler Johnson,SG,28,BRK
Nikola Jokić,C,25,DEN
Damian Jones,C,25,TOT
Damian Jones,C,25,PHO
Damian Jones,C,25,LAL
Damian Jones,C,25,SAC
Derrick Jones Jr.,SF,23,POR
Mason Jones,SG,22,TOT
Mason Jones,SG,22,HOU
Mason Jones,SG,22,PHI
Tre Jones,PG,21,SAS
Tyus Jones,PG,24,MEM
DeAndre Jordan,C,32,BRK
Cory Joseph,PG,29,TOT
Cory Joseph,PG,29,SAC
Cory Joseph,PG,29,DET
Mfiondu Kabengele,PF,23,TOT
Mfiondu Kabengele,PF,23,LAC
Mfiondu Kabengele,PF,23,CLE
Frank Kaminsky,C,27,PHO
Luke Kennard,SG,24,LAC
Louis King,SF,21,SAC
Maxi Kleber,PF,29,DAL
Nathan Knight,PF,23,ATL
Kevin Knox,SF,21,NYK
John Konchar,SG,24,MEM
Furkan Korkmaz,SG,23,PHI
Luke Kornet,C-PF,25,TOT
Luke Kornet,PF,25,CHI
Luke Kornet,C,25,BOS
Rodions Kurucs,SF-PF,22,TOT
Rodions Kurucs,PF,22,BRK
Rodions Kurucs,SF,22,HOU
Rodions Kurucs,SF,22,MIL
Kyle Kuzma,SF,25,LAL
Anthony Lamb,SF,23,HOU
Jeremy Lamb,SG,28,IND
Romeo Langford,SG,21,BOS
Zach LaVine,SG,25,CHI
Jake Layman,SF,26,MIN
T.J. Leaf,PF,23,POR
Jalen Lecque,PG,20,IND
Damion Lee,SG,28,GSW
Saben Lee,PG,21,DET
Alex Len,C,27,TOT
Alex Len,C,27,TOR
Alex Len,C,27,WAS
Kawhi Leonard,SF,29,LAC
Meyers Leonard,C,28,MIA
Caris LeVert,SG,26,TOT
Caris LeVert,SG,26,BRK
Caris LeVert,SG,26,IND
Kira Lewis Jr.,PG,19,NOP
Damian Lillard,PG,30,POR
Nassir Little,PF,20,POR
Kevon Looney,C,24,GSW
Brook Lopez,C,32,MIL
Robin Lopez,C,32,WAS
Didi Louzada,SF,21,NOP
Kevin Love,PF,32,CLE
Kyle Lowry,PG,34,TOR
Timothé Luwawu-Cabarrot,SF,25,BRK
Trey Lyles,PF,25,SAS
Will Magnay,C,22,NOP
Thon Maker,C,23,CLE
Théo Maledon,PG,19,OKC
Karim Mané,PG,20,ORL
Terance Mann,SG,24,LAC
Nico Mannion,PG,19,GSW
Boban Marjanović,C,32,DAL
Lauri Markkanen,PF,23,CHI
Naji Marshall,SF,23,NOP
Caleb Martin,SF,25,CHO
Cody Martin,SF,25,CHO
Jeremiah Martin,PG,24,CLE
Kelan Martin,SF,25,IND
Kenyon Martin Jr.,SF,20,HOU
Frank Mason III,PG,26,ORL
Garrison Mathews,SG,24,WAS
Dakota Mathias,SG,25,PHI
Wesley Matthews,SG,34,LAL
Tyrese Maxey,SG,20,PHI
Skylar Mays,SG,23,ATL
Patrick McCaw,SF,25,TOR
CJ McCollum,SG,29,POR
T.J. McConnell,PG,28,IND
Jaden McDaniels,PF,20,MIN
Jalen McDaniels,SF,23,CHO
Doug McDermott,PF,29,IND
Sean McDermott,SF,24,MEM
JaVale McGee,C,33,TOT
JaVale McGee,C,33,CLE
JaVale McGee,C,33,DEN
Rodney McGruder,SG,29,DET
Alfonzo McKinnie,SF,28,LAL
Jordan McLaughlin,PG,24,MIN
Ben McLemore,SG,27,TOT
Ben McLemore,SG,27,HOU
Ben McLemore,SG,27,LAL
Nicolò Melli,PF,30,TOT
Nicolò Melli,PF,30,NOP
Nicolò Melli,PF,30,DAL
De'Anthony Melton,PG,22,MEM
Sam Merrill,SG,24,MIL
Chimezie Metu,C,23,SAC
Khris Middleton,SF,29,MIL
Darius Miller,SF,30,OKC
Patty Mills,PG,32,SAS
Paul Millsap,PF,35,DEN
Shake Milton,SG,24,PHI
Donovan Mitchell,PG,24,UTA
Adam Mokoka,SG,22,CHI
Malik Monk,SG,22,CHO
E'Twaun Moore,SG,31,PHO
Ja Morant,PG,21,MEM
Juwan Morgan,PF,23,UTA
Marcus Morris,PF,31,LAC
Markieff Morris,PF,31,LAL
Monte Morris,PG,25,DEN
Mychal Mulder,PG,26,GSW
Dejounte Murray,PG,24,SAS
Jamal Murray,PG,23,DEN
Mike Muscala,C,29,OKC
Svi Mykhailiuk,SF-SG,23,TOT
Svi Mykhailiuk,SF,23,DET
Svi Mykhailiuk,SG,23,OKC
Abdel Nader,SF,27,PHO
Larry Nance Jr.,PF,28,CLE
Aaron Nesmith,SF,21,BOS
Raul Neto,PG,28,WAS
Georges Niang,PF,27,UTA
Zeke Nnaji,PF,20,DEN
Nerlens Noel,C,26,NYK
Jaylen Nowell,SG,21,MIN
Frank Ntilikina,PG,22,NYK
Kendrick Nunn,PG,25,MIA
James Nunnally,SF,30,NOP
Jusuf Nurkić,C,26,POR
David Nwaba,SF,28,HOU
Jordan Nwora,SF,22,MIL
Royce O'Neale,SF,27,UTA
Semi Ojeleye,PF,26,BOS
Jahlil Okafor,C,25,DET
Chuma Okeke,PF,22,ORL
Josh Okogie,SG,22,MIN
Onyeka Okongwu,C,20,ATL
Isaac Okoro,SG,20,CLE
KZ Okpala,PF,21,MIA
Victor Oladipo,SG,28,TOT
Victor Oladipo,SG,28,IND
Victor Oladipo,SG,28,HOU
Victor Oladipo,SG,28,MIA
Cameron Oliver,SF,24,HOU
Kelly Olynyk,C-PF,29,TOT
Kelly Olynyk,C,29,MIA
Kelly Olynyk,PF,29,HOU
Miye Oni,SG,23,UTA
Cedi Osman,SF,25,CLE
Daniel Oturu,C,21,LAC
Kelly Oubre Jr.,SF,25,GSW
Jabari Parker,PF,25,TOT
Jabari Parker,PF,25,SAC
Jabari Parker,PF,25,BOS
Eric Paschall,PF,24,GSW
Anžejs Pasečņiks,C,25,WAS
Patrick Patterson,PF,31,LAC
Justin Patton,C,23,HOU
Chris Paul,PG,35,PHO
Cameron Payne,PG,26,PHO
Elfrid Payton,PG,26,NYK
Gary Payton II,PG,28,GSW
Norvel Pelle,C,27,TOT
Norvel Pelle,C,27,BRK
Norvel Pelle,C,27,SAC
Norvel Pelle,C,27,NYK
Reggie Perry,PF,20,BRK
Theo Pinson,SG,25,NYK
Mason Plumlee,C,30,DET
Jakob Poeltl,C,25,SAS
Vincent Poirier,C,27,PHI
Aleksej Pokusevski,PF,19,OKC
Jordan Poole,SG,21,GSW
Jontay Porter,PF,21,MEM
Kevin Porter Jr.,SG,20,HOU
Michael Porter Jr.,SF,22,DEN
Otto Porter Jr.,SF-PF,27,TOT
Otto Porter Jr.,SF,27,CHI
Otto Porter Jr.,PF,27,ORL
Bobby Portis,C,25,MIL
Kristaps Porziņģis,C,25,DAL
Dwight Powell,C,29,DAL
Norman Powell,SG-SF,27,TOT
Norman Powell,SG,27,TOR
Norman Powell,SF,27,POR
Taurean Prince,PF,26,TOT
Taurean Prince,PF,26,BRK
Taurean Prince,PF,26,CLE
